metric,label,value
n_evaluated,all,4
n_correct,all,4
accuracy,all,1.0
precision,identificador_directo,1.0
recall,identificador_directo,1.0
f1,identificador_directo,1.0
support,identificador_directo,1
precision,cuasi_identificador,1.0
recall,cuasi_identificador,1.0
f1,cuasi_identificador,1.0
support,cuasi_identificador,2
precision,atributo_sensible,1.0
recall,atributo_sensible,1.0
f1,atributo_sensible,1.0
support,atributo_sensible,1
precision,no_sensible,0.0
recall,no_sensible,0.0
f1,no_sensible,0.0
support,no_sensible,0
