level0,level1,level2,level3
[18.0–24.0),[18.0–29.0),[18.0–42.0),[18.0–84.0)
[24.0–29.0),[18.0–29.0),[18.0–42.0),[18.0–84.0)
[29.0–37.0),[29.0–42.0),[18.0–42.0),[18.0–84.0)
[37.0–42.0),[29.0–42.0),[18.0–42.0),[18.0–84.0)
[42.0–47.0),[42.0–51.0),[42.0–63.0),[18.0–84.0)
[47.0–51.0),[42.0–51.0),[42.0–63.0),[18.0–84.0)
[51.0–56.0),[51.0–63.0),[42.0–63.0),[18.0–84.0)
[56.0–63.0),[51.0–63.0),[42.0–63.0),[18.0–84.0)
[63.0–68.0),[63.0–71.0),[63.0–84.0),[18.0–84.0)
[68.0–71.0),[63.0–71.0),[63.0–84.0),[18.0–84.0)
[71.0–77.0),[71.0–84.0),[63.0–84.0),[18.0–84.0)
[77.0–84.0),[71.0–84.0),[63.0–84.0),[18.0–84.0)
