level0,level1,level2,level3
Barcelona,Barcelona,Catalunya,España
Ceuta,Ceuta,Ceuta y Melilla,España
Getxo,Vizcaya,País Vasco,España
Murcia,Murcia,Murcia,España
Cerdanyola del Vallès,Barcelona,Catalunya,España
Alcalá de Henares,Madrid,Madrid,España
San Sebastián,Desconocido,Desconocido,España
Cartagena,Murcia,Murcia,España
Huelva,Huelva,Andalucía,España
Badalona,Barcelona,Catalunya,España
León,León,Castilla León,España
Manresa,Barcelona,Catalunya,España
Barakaldo,Vizcaya,País Vasco,España
Viladecans,Barcelona,Catalunya,España
Burgos,Burgos,Castilla León,España
Torrevieja,Alicante/Alacant,Valencia,España
Igualada,Barcelona,Catalunya,España
Blanes,Girona,Catalunya,España
Vilanova i la Geltrú,Barcelona,Catalunya,España
Sevilla,Sevilla,Andalucía,España
Benidorm,Alicante/Alacant,Valencia,España
Getafe,Madrid,Madrid,España
Almería,Almería,Andalucía,España
Fuenlabrada,Madrid,Madrid,España
Vic,Barcelona,Catalunya,España
Alcoy,Desconocido,Desconocido,España
Móstoles,Madrid,Madrid,España
Algeciras,Cádiz,Andalucía,España
Rivas-Vaciamadrid,Madrid,Madrid,España
Granada,Granada,Andalucía,España
Ciudad Real,Ciudad Real,Castilla La Mancha,España
Telde,Las Palmas,Canarias,España
Pamplona,Desconocido,Desconocido,España
Mollet del Vallès,Barcelona,Catalunya,España
San Vicente del Raspeig,Desconocido,Desconocido,España
Roquetas de Mar,Almería,Andalucía,España
Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,España
Madrid,Madrid,Madrid,España
Pontevedra,Pontevedra,Galicia,España
Valencia,Valencia/València,Valencia,España
Gandía,Valencia/València,Valencia,España
Ourense,Ourense,Galicia,España
Lleida,Lleida,Catalunya,España
Coslada,Madrid,Madrid,España
Bilbao,Vizcaya,País Vasco,España
Torremolinos,Málaga,Andalucía,España
Sant Boi de Llobregat,Barcelona,Catalunya,España
Segovia,Segovia,Castilla León,España
Torrejón de Ardoz,Madrid,Madrid,España
Terrassa,Barcelona,Catalunya,España
Sabadell,Barcelona,Catalunya,España
Cornellà de Llobregat,Barcelona,Catalunya,España
Majadahonda,Madrid,Madrid,España
San Cristóbal de La Laguna,Santa Cruz de Tenerife,Canarias,España
Palencia,Palencia,Castilla León,España
Marbella,Málaga,Andalucía,España
Guadalajara,Guadalajara,Castilla La Mancha,España
Motril,Granada,Andalucía,España
Toledo,Toledo,Castilla La Mancha,España
Badajoz,Badajoz,Extremadura,España
Estepona,Málaga,Andalucía,España
Zaragoza,Zaragoza,Aragón,España
Ávila,Ávila,Castilla León,España
Granollers,Barcelona,Catalunya,España
A Coruña,Desconocido,Desconocido,España
Leganés,Madrid,Madrid,España
Mataró,Barcelona,Catalunya,España
Alcalá de Guadaíra,Sevilla,Andalucía,España
Pozuelo de Alarcón,Madrid,Madrid,España
Castellón de la Plana,Desconocido,Desconocido,España
Fuengirola,Málaga,Andalucía,España
Zamora,Zamora,Castilla León,España
Alicante,Desconocido,Desconocido,España
Tarragona,Tarragona,Catalunya,España
Santa Coloma de Gramenet,Barcelona,Catalunya,España
Orihuela,Alicante/Alacant,Valencia,España
Reus,Tarragona,Catalunya,España
Colmenar Viejo,Madrid,Madrid,España
Avilés,Asturias,Asturias,España
Arona,Santa Cruz de Tenerife,Canarias,España
Talavera de la Reina,Toledo,Castilla La Mancha,España
Pinto,Madrid,Madrid,España
Gijón,Asturias,Asturias,España
San Fernando,Cádiz,Andalucía,España
Valladolid,Valladolid,Castilla León,España
Jerez de la Frontera,Cádiz,Andalucía,España
Linares,Jaén,Andalucía,España
Alcobendas,Madrid,Madrid,España
Figueres,Girona,Catalunya,España
Salamanca,Salamanca,Castilla León,España
Castelldefels,Barcelona,Catalunya,España
Huesca,Huesca,Aragón,España
Rubí,Barcelona,Catalunya,España
Vitoria-Gasteiz,Álava,País Vasco,España
Palma,Illes Balears,Islas Baleares,España
Alcorcón,Madrid,Madrid,España
Elche,Desconocido,Desconocido,España
Calella,Barcelona,Catalunya,España
Las Palmas de Gran Canaria,Desconocido,Desconocido,España
Oviedo,Asturias,Asturias,España
Sitges,Barcelona,Catalunya,España
Santiago de Compostela,A Coruña,Galicia,España
Cuenca,Cuenca,Castilla La Mancha,España
Parla,Madrid,Madrid,España
Melilla,Melilla,Ceuta y Melilla,España
Puerto del Rosario,Las Palmas,Canarias,España
Eivissa,Illes Balears,Islas Baleares,España
Soria,Soria,Castilla León,España
Aranjuez,Madrid,Madrid,España
