level0,level1,level2,level3,level4,level5
24825,2482x,248xx,24xxx,2xxxx,España
52674,5267x,526xx,52xxx,5xxxx,España
52456,5245x,524xx,52xxx,5xxxx,España
20809,2080x,208xx,20xxx,2xxxx,España
50094,5009x,500xx,50xxx,5xxxx,España
44537,4453x,445xx,44xxx,4xxxx,España
34453,3445x,344xx,34xxx,3xxxx,España
44685,4468x,446xx,44xxx,4xxxx,España
40685,4068x,406xx,40xxx,4xxxx,España
51100,5110x,511xx,51xxx,5xxxx,España
21514,2151x,215xx,21xxx,2xxxx,España
05303,0530x,053xx,05xxx,0xxxx,España
24803,2480x,248xx,24xxx,2xxxx,España
17691,1769x,176xx,17xxx,1xxxx,España
26137,2613x,261xx,26xxx,2xxxx,España
48473,4847x,484xx,48xxx,4xxxx,España
51544,5154x,515xx,51xxx,5xxxx,España
36706,3670x,367xx,36xxx,3xxxx,España
34945,3494x,349xx,34xxx,3xxxx,España
15446,1544x,154xx,15xxx,1xxxx,España
01274,0127x,012xx,01xxx,0xxxx,España
21314,2131x,213xx,21xxx,2xxxx,España
24430,2443x,244xx,24xxx,2xxxx,España
12655,1265x,126xx,12xxx,1xxxx,España
42400,4240x,424xx,42xxx,4xxxx,España
09185,0918x,091xx,09xxx,0xxxx,España
25456,2545x,254xx,25xxx,2xxxx,España
08057,0805x,080xx,08xxx,0xxxx,España
19190,1919x,191xx,19xxx,1xxxx,España
51330,5133x,513xx,51xxx,5xxxx,España
35639,3563x,356xx,35xxx,3xxxx,España
23967,2396x,239xx,23xxx,2xxxx,España
12354,1235x,123xx,12xxx,1xxxx,España
04564,0456x,045xx,04xxx,0xxxx,España
46877,4687x,468xx,46xxx,4xxxx,España
26932,2693x,269xx,26xxx,2xxxx,España
33944,3394x,339xx,33xxx,3xxxx,España
15274,1527x,152xx,15xxx,1xxxx,España
03284,0328x,032xx,03xxx,0xxxx,España
12453,1245x,124xx,12xxx,1xxxx,España
08216,0821x,082xx,08xxx,0xxxx,España
11219,1121x,112xx,11xxx,1xxxx,España
08926,0892x,089xx,08xxx,0xxxx,España
31766,3176x,317xx,31xxx,3xxxx,España
06492,0649x,064xx,06xxx,0xxxx,España
31274,3127x,312xx,31xxx,3xxxx,España
30240,3024x,302xx,30xxx,3xxxx,España
47033,4703x,470xx,47xxx,4xxxx,España
26374,2637x,263xx,26xxx,2xxxx,España
06700,0670x,067xx,06xxx,0xxxx,España
17438,1743x,174xx,17xxx,1xxxx,España
26382,2638x,263xx,26xxx,2xxxx,España
16968,1696x,169xx,16xxx,1xxxx,España
16214,1621x,162xx,16xxx,1xxxx,España
14925,1492x,149xx,14xxx,1xxxx,España
26412,2641x,264xx,26xxx,2xxxx,España
47363,4736x,473xx,47xxx,4xxxx,España
50449,5044x,504xx,50xxx,5xxxx,España
37633,3763x,376xx,37xxx,3xxxx,España
49183,4918x,491xx,49xxx,4xxxx,España
52461,5246x,524xx,52xxx,5xxxx,España
40789,4078x,407xx,40xxx,4xxxx,España
45120,4512x,451xx,45xxx,4xxxx,España
41583,4158x,415xx,41xxx,4xxxx,España
25288,2528x,252xx,25xxx,2xxxx,España
15535,1553x,155xx,15xxx,1xxxx,España
49281,4928x,492xx,49xxx,4xxxx,España
27538,2753x,275xx,27xxx,2xxxx,España
06460,0646x,064xx,06xxx,0xxxx,España
42759,4275x,427xx,42xxx,4xxxx,España
04617,0461x,046xx,04xxx,0xxxx,España
40130,4013x,401xx,40xxx,4xxxx,España
15313,1531x,153xx,15xxx,1xxxx,España
30691,3069x,306xx,30xxx,3xxxx,España
33352,3335x,333xx,33xxx,3xxxx,España
45996,4599x,459xx,45xxx,4xxxx,España
50655,5065x,506xx,50xxx,5xxxx,España
45618,4561x,456xx,45xxx,4xxxx,España
25727,2572x,257xx,25xxx,2xxxx,España
20956,2095x,209xx,20xxx,2xxxx,España
26716,2671x,267xx,26xxx,2xxxx,España
24269,2426x,242xx,24xxx,2xxxx,España
18466,1846x,184xx,18xxx,1xxxx,España
16115,1611x,161xx,16xxx,1xxxx,España
18891,1889x,188xx,18xxx,1xxxx,España
43089,4308x,430xx,43xxx,4xxxx,España
17166,1716x,171xx,17xxx,1xxxx,España
26607,2660x,266xx,26xxx,2xxxx,España
09397,0939x,093xx,09xxx,0xxxx,España
30334,3033x,303xx,30xxx,3xxxx,España
49972,4997x,499xx,49xxx,4xxxx,España
26263,2626x,262xx,26xxx,2xxxx,España
22189,2218x,221xx,22xxx,2xxxx,España
14843,1484x,148xx,14xxx,1xxxx,España
15491,1549x,154xx,15xxx,1xxxx,España
52109,5210x,521xx,52xxx,5xxxx,España
08052,0805x,080xx,08xxx,0xxxx,España
29134,2913x,291xx,29xxx,2xxxx,España
25557,2555x,255xx,25xxx,2xxxx,España
51015,5101x,510xx,51xxx,5xxxx,España
23947,2394x,239xx,23xxx,2xxxx,España
12424,1242x,124xx,12xxx,1xxxx,España
25067,2506x,250xx,25xxx,2xxxx,España
47319,4731x,473xx,47xxx,4xxxx,España
13903,1390x,139xx,13xxx,1xxxx,España
17699,1769x,176xx,17xxx,1xxxx,España
35700,3570x,357xx,35xxx,3xxxx,España
18031,1803x,180xx,18xxx,1xxxx,España
01109,0110x,011xx,01xxx,0xxxx,España
38822,3882x,388xx,38xxx,3xxxx,España
35556,3555x,355xx,35xxx,3xxxx,España
40996,4099x,409xx,40xxx,4xxxx,España
45132,4513x,451xx,45xxx,4xxxx,España
51604,5160x,516xx,51xxx,5xxxx,España
03991,0399x,039xx,03xxx,0xxxx,España
50571,5057x,505xx,50xxx,5xxxx,España
40262,4026x,402xx,40xxx,4xxxx,España
49902,4990x,499xx,49xxx,4xxxx,España
19902,1990x,199xx,19xxx,1xxxx,España
34068,3406x,340xx,34xxx,3xxxx,España
