level0,level1,level2,root
A Coruña,A Coruña,Galicia,*
Alcalá de Henares,Madrid,Madrid,*
Alcobendas,Madrid,Madrid,*
Alcorcón,Madrid,Madrid,*
Alicante,Alicante/Alacant,Valencia,*
Almería,Almería,Andalucía,*
Badajoz,Badajoz,Extremadura,*
Barcelona,Barcelona,Catalunya,*
Bilbao,Vizcaya,País Vasco,*
Castellón de la Plana,Castellón/Castelló,Valencia,*
Cuenca,Cuenca,Castilla La Mancha,*
Cádiz,Cádiz,Andalucía,*
Córdoba,Córdoba,Andalucía,*
Elche,Alicante/Alacant,Valencia,*
Fuenlabrada,Madrid,Madrid,*
Getafe,Madrid,Madrid,*
Gijón,Asturias,Asturias,*
Granada,Granada,Andalucía,*
Guadalajara,Guadalajara,Castilla La Mancha,*
Huelva,Huelva,Andalucía,*
Huesca,Huesca,Aragón,*
Jaén,Jaén,Andalucía,*
Las Palmas de Gran Canaria,Las Palmas,Canarias,*
Leganés,Madrid,Madrid,*
León,León,Castilla León,*
Lleida,Lleida,Catalunya,*
Logroño,La Rioja,La Rioja,*
Madrid,Madrid,Madrid,*
Majadahonda,Madrid,Madrid,*
Marbella,Málaga,Andalucía,*
Mataró,Barcelona,Catalunya,*
Murcia,Murcia,Murcia,*
Málaga,Málaga,Andalucía,*
Móstoles,Madrid,Madrid,*
Ourense,Ourense,Galicia,*
Oviedo,Asturias,Asturias,*
Palma,Illes Balears,Islas Baleares,*
Pamplona,Navarra,Navarra,*
Parla,Madrid,Madrid,*
Pontevedra,Pontevedra,Galicia,*
Pozuelo de Alarcón,Madrid,Madrid,*
Rivas-Vaciamadrid,Madrid,Madrid,*
Salamanca,Salamanca,Castilla León,*
San Cristóbal de La Laguna,Santa Cruz de Tenerife,Canarias,*
San Sebastián,Guipúzcoa,País Vasco,*
Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,*
Segovia,Segovia,Castilla León,*
Sevilla,Sevilla,Andalucía,*
Soria,Soria,Castilla León,*
Tarragona,Tarragona,Catalunya,*
Toledo,Toledo,Castilla La Mancha,*
Torrejón de Ardoz,Madrid,Madrid,*
Tres Cantos,Madrid,Madrid,*
Valencia,Valencia/València,Valencia,*
Valladolid,Valladolid,Castilla León,*
Vigo,Pontevedra,Galicia,*
Zamora,Zamora,Castilla León,*
Zaragoza,Zaragoza,Aragón,*
Ávila,Ávila,Castilla León,*
