age,education,city,cp
"[18,44)",Grado en Ingeniería Informática,*,19826
"[65,89)",Grado en Ingeniería Informática,*,01896
"[65,89)",Máster en Ciencia de Datos,*,29140
"[44,65)",Educación Secundaria Obligatoria,*,16554
"[44,65)",Doctorado en Biología,*,17108
"[65,89)",FP Grado Medio en Gestión Administrativa,*,35672
"[18,44)",Doctorado en Biología,*,07281
"[65,89)",Grado en ADE,*,13659
"[18,44)",Maestría en Inteligencia Artificial,*,38726
"[18,44)",Grado en Educación Primaria,*,49768
"[44,65)",Ciclo formativo de grado medio en Cocina y Gastronomía,*,17107
"[65,89)",Grado en ADE,*,32916
"[65,89)",Maestría en Inteligencia Artificial,*,51230
"[65,89)",ESO,*,13037
"[65,89)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,08554
"[65,89)",Doctorado en Biología,*,29370
"[44,65)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,17829
"[18,44)",Ciclo formativo de grado medio en Cocina y Gastronomía,*,24808
"[65,89)",Máster en Ciencia de Datos,*,51317
"[44,65)",Ciclo Formativo de Grado Superior en Administración de Sistemas,*,11952
"[44,65)",Educación Secundaria Obligatoria,*,34290
"[44,65)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,33515
"[18,44)",Doctorado en Biología,*,48255
"[65,89)",Grado en ADE,*,52936
"[65,89)",Máster en Ciencia de Datos,*,10164
"[44,65)",ESO,*,28044
"[44,65)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,16435
"[65,89)",Master en Dirección de Proyectos,*,51992
"[44,65)",Doctorado en Biología,*,08891
"[44,65)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,05748
"[44,65)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,44890
"[18,44)",FP Grado Medio en Gestión Administrativa,*,12893
"[18,44)",Máster en Ciencia de Datos,*,07518
"[44,65)",Ciclo Formativo de Grado Superior en Administración de Sistemas,*,25315
"[65,89)",Doctorado en Biología,*,02772
"[18,44)",ESO,*,18661
"[65,89)",Grado en ADE,*,22373
"[65,89)",Grado en ADE,*,47094
"[18,44)",Doctorado en Biología,*,39746
"[44,65)",PhD en Física,*,20262
"[18,44)",FP Grado Medio en Gestión Administrativa,*,01936
"[65,89)",Doctorado en Biología,*,50240
"[65,89)",Educación Secundaria Obligatoria,*,02122
"[18,44)",PhD en Física,*,04831
"[18,44)",Grado en Educación Primaria,*,47153
"[65,89)",Grado en Educación Primaria,*,39179
"[44,65)",ESO,*,20599
"[65,89)",Grado en ADE,*,38874
"[65,89)",ESO,*,03196
"[65,89)",Master en Dirección de Proyectos,*,15310
"[65,89)",Grado en Educación Primaria,*,52777
"[18,44)",Master en Dirección de Proyectos,*,17971
"[44,65)",Ciclo Formativo de Grado Superior en Administración de Sistemas,*,26500
"[44,65)",Doctorado en Biología,*,23143
"[44,65)",Ciclo formativo de grado medio en Cocina y Gastronomía,*,49013
"[18,44)",Ciclo Formativo de Grado Superior en Administración de Sistemas,*,10229
"[44,65)",Doctorado en Biología,*,15131
"[18,44)",Ciclo Formativo de Grado Superior en Administración de Sistemas,*,01677
"[65,89)",ESO,*,51121
"[65,89)",Doctorado en Biología,*,16506
"[65,89)",Grado en ADE,*,49694
"[65,89)",Doctorado en Biología,*,40581
"[44,65)",Bachillerato,*,22199
"[65,89)",Máster en Ciencia de Datos,*,45804
"[44,65)",ESO,*,02715
"[18,44)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,05738
"[65,89)",Ciclo Formativo de Grado Superior en Administración de Sistemas,*,43131
"[44,65)",Master en Dirección de Proyectos,*,23123
"[18,44)",Educación Secundaria Obligatoria,*,30927
"[44,65)",Grado en Ingeniería Informática,*,05397
"[65,89)",Master en Dirección de Proyectos,*,51300
"[18,44)",Doctorado en Biología,*,07488
"[44,65)",PhD en Física,*,27662
"[18,44)",PhD en Física,*,17955
"[65,89)",Grado en ADE,*,28286
"[44,65)",Máster en Ciencia de Datos,*,50924
"[18,44)",Grado en Educación Primaria,*,26024
"[18,44)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,32555
"[44,65)",Maestría en Inteligencia Artificial,*,08633
"[65,89)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,44105
"[65,89)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,38140
"[44,65)",FP Grado Medio en Gestión Administrativa,*,39419
"[18,44)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,01966
"[65,89)",Ciclo Formativo de Grado Superior en Administración de Sistemas,*,09596
"[44,65)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,10933
"[65,89)",Ciclo Formativo de Grado Superior en Administración de Sistemas,*,39804
"[18,44)",Ciclo Formativo de Grado Superior en Administración de Sistemas,*,23467
"[18,44)",Master en Dirección de Proyectos,*,33784
"[65,89)",Máster en Ciencia de Datos,*,45017
"[65,89)",Ciclo formativo de grado medio en Cocina y Gastronomía,*,35109
"[44,65)",Maestría en Inteligencia Artificial,*,15829
"[65,89)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,14796
"[65,89)",Grado en ADE,*,25232
"[44,65)",Doctorado en Biología,*,18530
"[65,89)",PhD en Física,*,40606
"[18,44)",Ciclo Formativo de Grado Superior en Administración de Sistemas,*,49867
"[18,44)",PhD en Física,*,40603
"[65,89)",Maestría en Inteligencia Artificial,*,16412
"[44,65)",ESO,*,07374
"[18,44)",PhD en Física,*,49425
"[65,89)",Bachillerato,*,06651
"[18,44)",Ciclo formativo de grado medio en Cocina y Gastronomía,*,51867
"[65,89)",FP Grado Superior en Desarrollo de Aplicaciones Web,*,15453
"[18,44)",Educación Secundaria Obligatoria,*,28247
"[65,89)",Grado en Educación Primaria,*,14236
"[65,89)",Educación Secundaria Obligatoria,*,52746
"[65,89)",Bachillerato,*,44816
"[65,89)",PhD en Física,*,50105
"[44,65)",Ciclo formativo de grado medio en Cocina y Gastronomía,*,46066
"[65,89)",PhD en Física,*,25594
"[18,44)",Master en Dirección de Proyectos,*,19146
"[65,89)",Ciclo formativo de grado medio en Cocina y Gastronomía,*,10824
"[44,65)",Máster en Ciencia de Datos,*,17310
"[44,65)",Master en Dirección de Proyectos,*,49143
"[44,65)",PhD en Física,*,48920
"[44,65)",Bachillerato,*,32165
"[18,44)",Maestría en Inteligencia Artificial,*,09284
"[18,44)",PhD en Física,*,31153
"[18,44)",Grado en Ingeniería Informática,*,24115
"[18,44)",Grado en Educación Primaria,*,29021
"[44,65)",Grado en Ingeniería Informática,*,37055
"[65,89)",Grado en Educación Primaria,*,11174
"[65,89)",Educación Secundaria Obligatoria,*,44053
