localidad;provincia;ccaa;país
Abla;Almería;Andalucía;España
Abrucena;Almería;Andalucía;España
Adra;Almería;Andalucía;España
Albánchez;Almería;Andalucía;España
Alboloduy;Almería;Andalucía;España
Albox;Almería;Andalucía;España
Alcolea;Almería;Andalucía;España
Alcóntar;Almería;Andalucía;España
Alcudia de Monteagud;Almería;Andalucía;España
Alhabia;Almería;Andalucía;España
Alhama de Almería;Almería;Andalucía;España
Alicún;Almería;Andalucía;España
Almería;Almería;Andalucía;España
Almócita;Almería;Andalucía;España
Alsodux;Almería;Andalucía;España
Antas;Almería;Andalucía;España
Arboleas;Almería;Andalucía;España
Armuña de Almanzora;Almería;Andalucía;España
Bacares;Almería;Andalucía;España
Bayárcal;Almería;Andalucía;España
Bayarque;Almería;Andalucía;España
Bédar;Almería;Andalucía;España
Beires;Almería;Andalucía;España
Benahadux;Almería;Andalucía;España
Benitagla;Almería;Andalucía;España
Benizalón;Almería;Andalucía;España
Bentarique;Almería;Andalucía;España
Berja;Almería;Andalucía;España
Canjáyar;Almería;Andalucía;España
Cantoria;Almería;Andalucía;España
Carboneras;Almería;Andalucía;España
Castro de Filabres;Almería;Andalucía;España
Chercos;Almería;Andalucía;España
Chirivel;Almería;Andalucía;España
Cóbdar;Almería;Andalucía;España
Cuevas del Almanzora;Almería;Andalucía;España
Dalías;Almería;Andalucía;España
Ejido (El);Almería;Andalucía;España
Enix;Almería;Andalucía;España
Felix;Almería;Andalucía;España
Fiñana;Almería;Andalucía;España
Fines;Almería;Andalucía;España
Fondón;Almería;Andalucía;España
Gádor;Almería;Andalucía;España
Gallardos (Los);Almería;Andalucía;España
Garrucha;Almería;Andalucía;España
Gérgal;Almería;Andalucía;España
Huécija;Almería;Andalucía;España
Huércal-Overa;Almería;Andalucía;España
Huércal de Almería;Almería;Andalucía;España
Illar;Almería;Andalucía;España
Instinción;Almería;Andalucía;España
Laroya;Almería;Andalucía;España
Láujar de Andarax;Almería;Andalucía;España
Líjar;Almería;Andalucía;España
Lubrín;Almería;Andalucía;España
Lucainena de las Torres;Almería;Andalucía;España
Lúcar;Almería;Andalucía;España
Macael;Almería;Andalucía;España
María;Almería;Andalucía;España
